1	1	"a"	"Dec 30 2016, 13:24:42"	1	3	3	3	3	3	3	3	1	4
2	1	"b"	"Feb 10 2017, 19:03:48"	2	2	2	2	2	3	2	2	2	1
3	1	"c"	"Feb 18 2017,  0:17:50"	2	2	2	4	2	3	3	3	3	2
4	1	"d"	"Feb 02 2017,  9:10:34"	4	2	2	3	2	1	3	2	3	3
5	2	"a"	"Jan 26 2017, 23:31:30"	3	1	1	3	1	2	2	3	2	2
6	2	"b"	"Jan 25 2017,  0:45:27"	3	2	4	4	2	2	2	1	3	2
7	2	"c"	"Jan 20 2017,  6:12:19"	3	2	1	3	2	3	2	3	3	2
8	2	"d"	"Jan 12 2017,  4:16:51"	3	2	3	2	3	2	3	2	3	2
9	3	"a"	"Jan 26 2017,  8:25:01"	3	2	2	3	2	1	2	2	3	3
10	3	"b"	"Jan 26 2017,  3:55:42"	3	2	3	4	2	3	2	3	2	1
11	3	"c"	"Jan 23 2017, 17:41:27"	3	2	3	1	3	2	2	1	3	4
12	3	"d"	"Feb 06 2017, 12:00:10"	2	2	2	2	2	1	2	2	2	3
13	4	"a"	"Jan 21 2017, 12:40:14"	4	3	4	3	3	3	1	3	2	3
14	4	"b"	"Mar 07 2017,  5:22:10"	3	2	2	3	1	2	3	2	2	3
15	4	"c"	"Jan 12 2017, 18:28:09"	2	2	2	2	2	3	3	3	3	3
16	4	"d"	"Feb 05 2017, 22:15:51"	3	2	2	3	2	3	2	4	2	3
17	5	"a"	"Jan 09 2017, 12:52:38"	4	2	4	3	3	3	2	3	2	2
18	5	"b"	"Jan 21 2017,  1:22:43"	4	1	3	2	3	2	3	3	2	2
19	5	"c"	"Jan 30 2017,  7:49:29"	3	1	4	2	3	3	2	3	3	2
20	5	"d"	"Mar 01 2017, 14:53:39"	2	3	3	3	2	2	2	2	3	3
21	6	"a"	"Jan 17 2017, 22:01:21"	3	2	2	3	3	2	3	3	2	3
22	6	"b"	"Jan 21 2017, 17:45:34"	3	2	3	2	1	4	2	2	2	5
23	6	"c"	"Jan 31 2017, 18:43:53"	3	2	2	3	3	2	3	1	4	3
24	6	"d"	"Jan 29 2017,  5:21:25"	2	2	2	3	2	3	1	1	1	1
25	7	"a"	"Jan 14 2017, 22:24:59"	3	1	2	3	3	3	3	3	2	3
26	7	"b"	"Feb 15 2017, 22:45:18"	3	0	3	3	3	3	2	2	3	4
27	7	"c"	"Jan 28 2017, 12:05:09"	2	1	4	2	3	2	1	2	2	2
28	7	"d"	"Feb 10 2017,  4:44:57"	3	1	4	2	1	3	3	3	3	2
29	8	"a"	"Jan 26 2017,  6:28:00"	2	1	3	3	3	2	3	2	2	2
30	8	"b"	"Feb 04 2017, 17:31:40"	2	3	3	2	2	3	2	3	3	3
31	8	"c"	"Jan 25 2017, 12:22:27"	2	3	3	4	3	2	3	2	1	2
32	8	"d"	"Feb 09 2017,  7:11:29"	2	2	3	3	3	1	3	1	3	3
33	9	"a"	"Feb 08 2017,  1:02:52"	1	2	2	3	4	2	2	2	3	2
34	9	"b"	"Jan 11 2017, 19:28:37"	2	1	2	3	2	0	4	3	3	3
